Name, Time, Duration, Frames
L1_FinalTarget (Target), 6.509449, 1.374657, 82.479400
L2_FinalTarget (Target), 10.691700, 0.000000, 0.000000
L3_Target_1 (Target), 10.691700, 0.000000, 0.000000
L3_FinalTarget (Target), 10.691700, 0.000000, 0.000000
L4_Target_2 (Target), 10.691700, 0.000000, 0.000000
L4_FinalTarget (Target), 10.691700, 4.182255, 250.935300
L5_Target_2 (Target), 10.691700, 0.000000, 0.000000
L5_FinalTarget (Target), 10.691700, 0.000000, 0.000000
L6_FinalTarget (Target), 10.691700, 0.000000, 0.000000
L7_FinalTarget (Target), 10.691700, 0.000000, 0.000000
L7_l7_l_L7_FinalTarget_1_1_1 (Target), 10.691700, 0.000000, 0.000000
L8_Target_2 (Target), 10.691700, 0.000000, 0.000000
L8_Target_3 (Target), 10.691700, 0.000000, 0.000000
L8_FinalTarget (Target), 10.691700, 0.000000, 0.000000
Level1 (Level), 6.509449, 0.266667, 16.000010
Level4 (Level), 10.691700, 0.983334, 59.000020
Level5 (Level), 10.875720, 0.000000, 0.000000
