Name, Time, Duration, Frames
L1_FinalTarget (Target), 73.877680, 1.174286, 70.457150
L2_FinalTarget (Target), 77.927730, 0.000000, 0.000000
L3_Target_1 (Target), 77.927730, 0.000000, 0.000000
L3_FinalTarget (Target), 77.927730, 0.000000, 0.000000
L4_Target_2 (Target), 77.927730, 0.000000, 0.000000
L4_FinalTarget (Target), 77.927730, 4.050049, 243.002900
L5_Target_2 (Target), 77.927730, 0.000000, 0.000000
L5_FinalTarget (Target), 77.927730, 0.000000, 0.000000
L6_FinalTarget (Target), 77.927730, 0.000000, 0.000000
L7_FinalTarget (Target), 77.927730, 0.000000, 0.000000
L7_l7_l_L7_FinalTarget_1_1_1 (Target), 77.927730, 0.000000, 0.000000
L8_Target_2 (Target), 77.927730, 0.000000, 0.000000
L8_Target_3 (Target), 77.927730, 0.000000, 0.000000
L8_FinalTarget (Target), 77.927730, 0.000000, 0.000000
Level1 (Level), 73.877680, 0.266670, 16.000210
Level4 (Level), 77.927730, 0.983330, 58.999790
Level5 (Level), 78.124440, 0.000000, 0.000000
