Name, Time, Duration, Frames
L1_FinalTarget (Target), 2.050000, 2.050000, 123.000000
L2_FinalTarget (Target), 31.716250, 0.000000, 0.000000
L3_Target_1 (Target), 31.716250, 0.000000, 0.000000
L3_FinalTarget (Target), 31.716250, 0.000000, 0.000000
L4_Target_2 (Target), 31.716250, 0.000000, 0.000000
L4_FinalTarget (Target), 5.658741, 3.608741, 216.524500
L5_Target_2 (Target), 11.036110, 5.377372, 322.642300
L5_FinalTarget (Target), 13.352780, 2.316667, 139.000000
L6_FinalTarget (Target), 21.446120, 8.093339, 485.600300
L7_FinalTarget (Target), 31.716250, 0.000000, 0.000000
L7_l7_l_L7_FinalTarget_1_1_1 (Target), 31.716250, 10.270130, 616.208000
L8_Target_2 (Target), 31.716250, 0.000000, 0.000000
L8_Target_3 (Target), 31.716250, 0.000000, 0.000000
L8_FinalTarget (Target), 31.716250, 0.000000, 0.000000
Level1 (Level), 2.050000, 0.333334, 20.000010
Level4 (Level), 5.658741, 1.000000, 60.000000
Level5 (Level), 13.352780, 7.493151, 449.589100
Level6 (Level), 21.446120, 5.750001, 345.000100
Level7 (Level), 31.716250, 7.083334, 425.000000
