Name, Time, Duration, Frames
L1_FinalTarget (Target), 2.200000, 2.200000, 132.000000
L2_FinalTarget (Target), 5.867211, 3.667211, 220.032700
L3_Target_1 (Target), 10.736490, 4.869280, 292.156800
L3_FinalTarget (Target), 11.603160, 0.866666, 51.999950
L4_Target_2 (Target), 102.075800, 90.472660, 5428.359000
L4_FinalTarget (Target), 104.092500, 2.016670, 121.000200
L5_Target_2 (Target), 140.390100, 36.297580, 2177.854000
L5_FinalTarget (Target), 143.156700, 2.766663, 165.999800
L6_FinalTarget (Target), 246.365800, 103.209100, 6192.546000
L7_FinalTarget (Target), 246.365800, 0.000000, 0.000000
L7_l7_l_L7_FinalTarget_1_1_1 (Target), 246.365800, 0.000000, 0.000000
L8_Target_2 (Target), 246.365800, 0.000000, 0.000000
L8_Target_3 (Target), 246.365800, 0.000000, 0.000000
L8_FinalTarget (Target), 246.365800, 0.000000, 0.000000
Level1 (Level), 2.200000, 0.250000, 15.000000
Level2 (Level), 5.867211, 1.433333, 86.000000
Level3 (Level), 11.603160, 3.583333, 215.000000
Level4 (Level), 104.092500, 79.133340, 4748.000000
Level5 (Level), 143.156700, 37.016670, 2221.000000
Level6 (Level), 246.365800, 5.616669, 337.000100
Level7 (Level), 249.377400, 0.000000, 0.000000
