Name, Time, Duration, Frames
L1_FinalTarget (Target), 15.733330, 15.733330, 944.000100
L2_FinalTarget (Target), 18.904560, 0.000000, 0.000000
L3_Target_1 (Target), 18.904560, 0.000000, 0.000000
L3_FinalTarget (Target), 18.904560, 0.000000, 0.000000
L4_Target_2 (Target), 18.904560, 0.000000, 0.000000
L4_FinalTarget (Target), 18.904560, 3.171229, 190.273800
L5_Target_2 (Target), 18.904560, 0.000000, 0.000000
L5_FinalTarget (Target), 18.904560, 0.000000, 0.000000
L6_FinalTarget (Target), 18.904560, 0.000000, 0.000000
L7_FinalTarget (Target), 18.904560, 0.000000, 0.000000
L7_l7_l_L7_FinalTarget_1_1_1 (Target), 18.904560, 0.000000, 0.000000
L8_Target_2 (Target), 18.904560, 0.000000, 0.000000
L8_Target_3 (Target), 18.904560, 0.000000, 0.000000
L8_FinalTarget (Target), 18.904560, 0.000000, 0.000000
Level1 (Level), 15.733330, 0.266667, 16.000040
Level4 (Level), 18.904560, 0.983334, 59.000020
Level5 (Level), 19.061510, 0.000000, 0.000000
Level8 (Level), 24.816040, 0.000000, 0.000000
