Name, Time, Duration, Frames
L1_FinalTarget (Target), 43.976320, 8.117329, 487.039700
L2_FinalTarget (Target), 257.119900, 0.000000, 0.000000
L3_Target_1 (Target), 257.119900, 0.000000, 0.000000
L3_FinalTarget (Target), 257.119900, 0.000000, 0.000000
L4_Target_2 (Target), 257.119900, 0.000000, 0.000000
L4_FinalTarget (Target), 47.212020, 3.235703, 194.142200
L5_Target_2 (Target), 49.869860, 2.657833, 159.470000
L5_FinalTarget (Target), 257.119900, 0.000000, 0.000000
L6_FinalTarget (Target), 257.119900, 0.000000, 0.000000
L7_FinalTarget (Target), 257.119900, 0.000000, 0.000000
L7_l7_l_L7_FinalTarget_1_1_1 (Target), 257.119900, 207.250000, 12435.000000
L8_Target_2 (Target), 257.119900, 0.000000, 0.000000
L8_Target_3 (Target), 257.119900, 0.000000, 0.000000
L8_FinalTarget (Target), 257.119900, 0.000000, 0.000000
Level1 (Level), 43.976320, 0.266666, 15.999980
Level4 (Level), 47.212020, 1.033333, 61.999970
Level5 (Level), 47.423430, 0.000000, 0.000000
Level8 (Level), 257.171900, 0.000000, 0.000000
