Name, Time, Duration, Frames
L1_FinalTarget (Target), 3.350000, 3.350000, 201.000000
L2_FinalTarget (Target), 7.459507, 4.109507, 246.570400
L3_Target_1 (Target), 10.514370, 3.054862, 183.291700
L3_FinalTarget (Target), 11.464370, 0.950000, 56.999990
L4_Target_2 (Target), 19.014690, 7.550326, 453.019600
L4_FinalTarget (Target), 20.781360, 1.766666, 106.000000
L5_Target_2 (Target), 20.781360, 0.000000, 0.000000
L5_FinalTarget (Target), 20.781360, 0.000000, 0.000000
L6_FinalTarget (Target), 20.781360, 0.000000, 0.000000
L7_FinalTarget (Target), 20.781360, 0.000000, 0.000000
L7_l7_l_L7_FinalTarget_1_1_1 (Target), 20.781360, 0.000000, 0.000000
L8_Target_2 (Target), 20.781360, 0.000000, 0.000000
L8_Target_3 (Target), 20.781360, 0.000000, 0.000000
L8_FinalTarget (Target), 20.781360, 0.000000, 0.000000
Level1 (Level), 3.350000, 0.316667, 19.000000
Level2 (Level), 7.459507, 1.700000, 102.000000
Level3 (Level), 11.464370, 1.866667, 112.000000
Level4 (Level), 20.781360, 5.033333, 302.000000
Level5 (Level), 21.648540, 0.000000, 0.000000
