Name, Time, Duration, Frames
L1_FinalTarget (Target), 293.359600, 9.915955, 594.957300
L2_FinalTarget (Target), 340.521800, 0.000000, 0.000000
L3_Target_1 (Target), 340.521800, 0.000000, 0.000000
L3_FinalTarget (Target), 340.521800, 0.000000, 0.000000
L4_Target_2 (Target), 340.521800, 0.000000, 0.000000
L4_FinalTarget (Target), 296.635800, 3.276245, 196.574700
L5_Target_2 (Target), 305.311100, 8.675262, 520.515700
L5_FinalTarget (Target), 340.521800, 0.000000, 0.000000
L6_FinalTarget (Target), 340.521800, 0.000000, 0.000000
L7_FinalTarget (Target), 340.521800, 0.000000, 0.000000
L7_l7_l_L7_FinalTarget_1_1_1 (Target), 318.744400, 13.433350, 806.001000
L8_Target_2 (Target), 340.521800, 0.000000, 0.000000
L8_Target_3 (Target), 331.455100, 12.710660, 762.639800
L8_FinalTarget (Target), 340.521800, 9.066650, 543.999000
Level1 (Level), 293.359600, 0.283356, 17.001340
Level4 (Level), 296.635800, 1.000000, 60.000000
Level5 (Level), 296.806500, 0.000000, 0.000000
Level8 (Level), 340.521800, 21.723450, 1303.407000
