Name, Time, Duration, Frames
L1_FinalTarget (Target), 61.167580, 1.179955, 70.797270
L2_FinalTarget (Target), 65.289890, 0.000000, 0.000000
L3_Target_1 (Target), 65.289890, 0.000000, 0.000000
L3_FinalTarget (Target), 65.289890, 0.000000, 0.000000
L4_Target_2 (Target), 65.289890, 0.000000, 0.000000
L4_FinalTarget (Target), 65.289890, 4.122311, 247.338600
L5_Target_2 (Target), 65.289890, 0.000000, 0.000000
L5_FinalTarget (Target), 65.289890, 0.000000, 0.000000
L6_FinalTarget (Target), 65.289890, 0.000000, 0.000000
L7_FinalTarget (Target), 65.289890, 0.000000, 0.000000
L7_l7_l_L7_FinalTarget_1_1_1 (Target), 65.289890, 0.000000, 0.000000
L8_Target_2 (Target), 65.289890, 0.000000, 0.000000
L8_Target_3 (Target), 65.289890, 0.000000, 0.000000
L8_FinalTarget (Target), 65.289890, 0.000000, 0.000000
Level1 (Level), 61.167580, 0.266666, 15.999980
Level4 (Level), 65.289890, 0.966667, 58.000030
Level5 (Level), 65.468050, 0.000000, 0.000000
Level7 (Level), 69.340400, 0.000000, 0.000000
