Name, Time, Duration, Frames
L1_FinalTarget (Target), 60.904480, 18.234000, 1094.040000
L2_FinalTarget (Target), 66.702630, 0.000000, 0.000000
L3_Target_1 (Target), 66.702630, 0.000000, 0.000000
L3_FinalTarget (Target), 66.702630, 0.000000, 0.000000
L4_Target_2 (Target), 66.702630, 0.000000, 0.000000
L4_FinalTarget (Target), 64.300820, 3.396339, 203.780400
L5_Target_2 (Target), 66.702630, 2.401810, 144.108600
L5_FinalTarget (Target), 66.702630, 0.000000, 0.000000
L6_FinalTarget (Target), 66.702630, 0.000000, 0.000000
L7_FinalTarget (Target), 66.702630, 0.000000, 0.000000
L7_l7_l_L7_FinalTarget_1_1_1 (Target), 66.702630, 0.000000, 0.000000
L8_Target_2 (Target), 66.702630, 0.000000, 0.000000
L8_Target_3 (Target), 66.702630, 0.000000, 0.000000
L8_FinalTarget (Target), 66.702630, 0.000000, 0.000000
Level1 (Level), 60.904480, 0.266666, 15.999980
Level4 (Level), 64.300820, 1.099998, 65.999910
Level5 (Level), 64.494770, 0.000000, 0.000000
