Name, Time, Duration, Frames
L1_FinalTarget (Target), 2.960698, 1.193588, 71.615300
L2_FinalTarget (Target), 6.182200, 0.000000, 0.000000
L3_Target_1 (Target), 6.182200, 0.000000, 0.000000
L3_FinalTarget (Target), 6.182200, 0.000000, 0.000000
L4_Target_2 (Target), 6.182200, 0.000000, 0.000000
L4_FinalTarget (Target), 6.182200, 3.221502, 193.290100
L5_Target_2 (Target), 6.182200, 0.000000, 0.000000
L5_FinalTarget (Target), 6.182200, 0.000000, 0.000000
L6_FinalTarget (Target), 6.182200, 0.000000, 0.000000
L7_FinalTarget (Target), 6.182200, 0.000000, 0.000000
L7_l7_l_L7_FinalTarget_1_1_1 (Target), 6.182200, 0.000000, 0.000000
L8_Target_2 (Target), 6.182200, 0.000000, 0.000000
L8_Target_3 (Target), 6.182200, 0.000000, 0.000000
L8_FinalTarget (Target), 6.182200, 0.000000, 0.000000
Level1 (Level), 2.960698, 0.266667, 16.000000
Level4 (Level), 6.182200, 0.950000, 56.999990
Level5 (Level), 6.334962, 0.000000, 0.000000
