Name, Time, Duration, Frames
L1_FinalTarget (Target), 315.021700, 1.354095, 81.245730
L2_FinalTarget (Target), 351.147100, 0.000000, 0.000000
L3_Target_1 (Target), 351.147100, 0.000000, 0.000000
L3_FinalTarget (Target), 351.147100, 0.000000, 0.000000
L4_Target_2 (Target), 351.147100, 0.000000, 0.000000
L4_FinalTarget (Target), 318.355700, 3.334015, 200.040900
L5_Target_2 (Target), 351.147100, 0.000000, 0.000000
L5_FinalTarget (Target), 351.147100, 0.000000, 0.000000
L6_FinalTarget (Target), 351.147100, 0.000000, 0.000000
L7_FinalTarget (Target), 351.147100, 0.000000, 0.000000
L7_l7_l_L7_FinalTarget_1_1_1 (Target), 351.147100, 0.000000, 0.000000
L8_Target_2 (Target), 351.147100, 0.000000, 0.000000
L8_Target_3 (Target), 337.997100, 19.641420, 1178.485000
L8_FinalTarget (Target), 351.147100, 13.149990, 788.999600
Level1 (Level), 315.021700, 0.333344, 20.000610
Level4 (Level), 318.355700, 0.950012, 57.000730
Level5 (Level), 318.529700, 0.000000, 0.000000
Level8 (Level), 351.147100, 27.100010, 1626.000000
